gam,f
68.9401943,101745013.17
69.80176653,101791002.78
70.66334095,101837295.09
71.52491747,101883895.14
72.38649602,101930807.84
73.24807652,101978038.01
74.10965892,102025590.35
74.97124314,102073469.48
75.83282912,102121679.94
76.69441681,102170226.17
77.55600614,102219112.55
78.41759706,102268343.35
79.27918952,102317922.83
80.14078348,102367855.12
81.00237887,102418144.34
81.86397567,102468794.52
82.72557381,102519809.65
83.58717327,102571193.67
84.448774,102622950.47
85.31037596,102675083.88
86.17197912,102727597.72
87.03358344,102780495.74
87.89518888,102833781.67
88.75679542,102887459.20
89.61840302,102941532.00
90.48001165,102996003.69
91.34162129,103050877.87
92.2032319,103106158.14
93.06484345,103161848.04
93.92645593,103217951.11
94.7880693,103274470.87
95.64968355,103331410.82
96.51129864,103388774.44
97.37291456,103446565.20
98.23453129,103504786.56
99.09614879,103563441.97
99.95776706,103622534.87
100.8193861,103682068.68
101.6810058,103742046.84
102.5426263,103802472.76
103.4042474,103863349.87
104.2658692,103924681.57
105.1274917,103986471.28
105.9891148,104048722.41
106.8507385,104111438.38
107.7123628,104174622.61
108.5739877,104238278.52
109.4356132,104302409.54
110.2972393,104367019.10
111.1588659,104432110.64
112.0204931,104497687.61
112.8821208,104563753.46
113.743749,104630311.67
114.6053777,104697365.71
115.4670069,104764919.07
116.3286366,104832975.26
117.1902668,104901537.79
118.0518974,104970610.20
118.9135285,105040196.02
119.77516,105110298.83
120.6367919,105180922.20
121.4984243,105252069.74
122.3600571,105323745.07
123.2216903,105395951.81
124.0833239,105468693.63
124.9449579,105541974.22
125.8065922,105615797.26
126.6682269,105690166.49
127.529862,105765085.66
128.3914975,105840558.53
129.2531333,105916588.92
130.1147694,105993180.64
130.9764059,106070337.55
131.8380427,106148063.52
132.6996799,106226362.47
133.5613173,106305238.33
134.4229551,106384695.07
135.2845932,106464736.69
136.1462316,106545367.23
137.0078702,106626590.73
137.8695092,106708411.30
138.7311484,106790833.08
139.5927879,106873860.21
140.4544277,106957496.90
141.3160678,107041747.39
142.1777081,107126615.96
143.0393487,107212106.90
143.9009895,107298224.57
144.7626306,107384973.36
145.6242719,107472357.70
146.4859135,107560382.05
147.3475553,107649050.93
148.2091974,107738368.88
149.0708396,107828340.52
149.9324821,107918970.47
150.7941248,108010263.43
151.6557677,108102224.12
152.5174109,108194857.32
153.3790542,108288167.87
154.2406978,108382160.62
155.1023415,108476840.52
155.9639855,108572212.52
156.8256297,108668281.66
157.687274,108765053.01
158.5489185,108862531.70
159.4105632,108960722.91
160.2722082,109059631.89
161.1338532,109159263.91
161.9954985,109259624.34
162.8571439,109360718.58
163.7187895,109462552.09
164.5804353,109565130.40
165.4420813,109668459.10
166.3037274,109772543.82
167.1653736,109877390.29
168.0270201,109983004.27
168.8886666,110089391.60
169.7503134,110196558.18
170.6119603,110304509.99
171.4736073,110413253.05
172.3352545,110522793.49
173.1969018,110633137.46
174.0585493,110744291.23
174.9201969,110856261.11
175.7818447,110969053.49
176.6434926,111082674.85
177.5051406,111197131.73
178.3667887,111312430.76
179.228437,111428578.62
180.0900854,111545582.11
180.951734,111663448.09
181.8133827,111782183.50
182.6750315,111901795.37
183.5366804,112022290.82
184.3983294,112143677.04
185.2599786,112265961.33
186.1216278,112389151.07
186.9832772,112513253.72
187.8449267,112638276.85
188.7065763,112764228.12
189.5682261,112891115.28
190.4298759,113018946.19
191.2915258,113147728.78
192.1531759,113277471.12
193.014826,113408181.35
193.8764763,113539867.74
194.7381266,113672538.65
195.5997771,113806202.54
196.4614276,113940868.01
197.3230783,114076543.73
198.184729,114213238.53
199.0463799,114350961.32
199.9080308,114489721.13
200.7696818,114629527.13
201.631333,114770388.60
202.4929842,114912314.94
203.3546355,115055315.68
204.2162869,115199400.47
205.0779384,115344579.11
205.9395899,115490861.50
206.8012416,115638257.71
207.6628933,115786777.92
208.5245451,115936432.47
209.386197,116087231.83
210.247849,116239186.62
211.1095011,116392307.59
211.9711532,116546605.67
212.8328054,116702091.91
213.6944577,116858777.55
214.5561101,117016673.96
215.4177625,117175792.68
216.279415,117336145.41
217.1410676,117497744.03
218.0027203,117660600.58
218.864373,117824727.27
219.7260258,117990136.48
220.5876787,118156840.80
221.4493317,118324852.97
222.3109847,118494185.93
223.1726378,118664852.81
224.0342909,118836866.94
224.8959441,119010241.82
225.7575974,119184991.18
226.6192507,119361128.94
227.4809042,119538669.23
228.3425576,119717626.41
229.2042112,119898015.03
230.0658648,120079849.87
230.9275184,120263145.94
231.7891721,120447918.48
232.6508259,120634182.95
233.5124797,120821955.07
234.3741336,121011250.79
235.2357876,121202086.31
236.0974416,121394478.09
236.9590957,121588442.82
237.8207498,121783997.50
238.682404,121981159.36
239.5440582,122179945.92
240.4057125,122380374.97
241.2673668,122582464.61
242.1290212,122786233.21
242.9906756,122991699.43
243.8523301,123198882.25
244.7139847,123407800.95
245.5756393,123618475.14
246.4372939,123830924.74
247.2989486,124045170.01
248.1606034,124261231.52
249.0222582,124479130.23
249.883913,124698887.41
250.7455679,124920524.70
251.6072228,125144064.12
252.4688778,125369528.05
253.3305328,125596939.26
254.1921879,125826320.90
255.053843,126057696.55
255.9154982,126291090.15
256.7771534,126526526.11
257.6388087,126764029.22
258.500464,127003624.75
259.3621193,127245338.37
260.2237747,127489196.25
261.0854301,127735224.99
261.9470856,127983451.71
262.8087411,128233903.97
263.6703966,128486609.87
264.5320522,128741597.99
265.3937078,128998897.47
266.2553635,129258537.95
267.1170192,129520549.63
267.978675,129784963.28
268.8403308,130051810.25
269.7019866,130321122.45
270.5636424,130592932.43
271.4252983,130867273.32
272.2869543,131144178.91
273.1486103,131423683.63
274.0102663,131705822.57
274.8719223,131990631.50
275.7335784,132278146.90
276.5952345,132568405.95
277.4568907,132861446.56
278.3185468,133157307.42
279.1802031,133456027.96
280.0418593,133757648.40
280.9035156,134062209.80
281.7651719,134369754.02
282.6268283,134680323.79
283.4884847,134993962.72
284.3501411,135310715.29
285.2117975,135630626.94
286.073454,135953744.04
286.9351106,136280113.93
287.7967671,136609784.95
288.6584237,136942806.46
289.5200803,137279228.89
290.3817369,137619103.75
291.2433936,137962483.65
292.1050503,138309422.34
292.966707,138659974.77
293.8283638,139014197.09
294.6900206,139372146.67
295.5516774,139733882.19
296.4133343,140099463.62
297.2749911,140468952.31
298.136648,140842410.97
298.998305,141219903.77
299.8599619,141601496.35
300.7216189,141987255.85
301.5832759,142377250.99
302.444933,142771552.11
303.30659,143170231.19
304.1682471,143573361.93
305.0299043,143981019.80
305.8915614,144393282.06
306.7532186,144810227.88
307.6148758,145231938.34
308.476533,145658496.50
309.3381903,146089987.51
310.1998475,146526498.62
311.0615048,146968119.26
311.9231622,147414941.14
312.7848195,147867058.30
313.6464769,148324567.18
314.5081343,148787566.71
315.3697917,149256158.42
316.2314492,149730446.46
317.0931066,150210537.75
317.9547641,150696542.06
318.8164216,151188572.08
319.6780792,151686743.55
320.5397367,152191175.37
321.4013943,152701989.68
322.2630519,153219312.01
323.1247095,153743271.37
323.9863672,154274000.39
324.8480249,154811635.46
325.7096826,155356316.85
326.5713403,155908188.85
327.432998,156467399.96
328.2946558,157034102.99
329.1563136,157608455.25
330.0179714,158190618.72
330.8796292,158780760.25
331.741287,159379051.71
332.6029449,159985670.20
333.4646028,160600798.26
334.3262607,161224624.09
335.1879186,161857341.78
336.0495765,162499151.52
336.9112345,163150259.88
337.7728925,163810880.04
338.6345505,164481232.12
339.4962085,165161543.40
340.3578665,165852048.67
341.2195246,166552990.54
342.0811826,167264619.76
342.9428407,167987195.60
343.8044988,168720986.20
344.666157,169466268.98
345.5278151,170223331.04
346.3894733,170992469.62
347.2511315,171773992.53
348.1127897,172568218.65
348.9744479,173375478.48
349.8361061,174196114.61
350.6977644,175030482.38
351.5594227,175878950.42
352.4210809,176741901.34
353.2827393,177619732.41
354.1443976,178512856.24
355.0060559,179421701.63
355.8677143,180346714.31
356.7293726,181288357.84
357.591031,182247114.56
358.4526894,183223486.52
359.3143479,184217996.56
360.1760063,185231189.41
361.0376647,186263632.88
361.8993232,187315919.12
362.7609817,188388665.98
363.6226402,189482518.44
364.4842987,190598150.18
365.3459572,191736265.17
366.2076158,192897599.53
367.0692743,194082923.34
367.9309329,195293042.71
368.7925915,196528801.96
369.6542501,197791085.96
370.5159087,199080822.65
371.3775674,200398985.76
372.239226,201746597.73
373.1008847,203124732.84
373.9625434,204534520.68
374.8242021,205977149.76
375.6858608,207453871.53
376.5475195,208966004.68
377.4091782,210514939.82
378.270837,212102144.56
379.1324957,213729169.02
379.9941545,215397651.84
380.8558133,217109326.67
381.7174721,218866029.39
382.5791309,220669705.80
383.4407897,222522420.19
384.3024486,224426364.62
385.1641074,226383869.18
386.0257663,228397413.14
386.8874252,230469637.31
387.7490841,232603357.58
388.610743,234801579.84
389.4724019,237067516.52
390.3340608,239404604.70
391.1957198,241816526.32
392.0573787,244307230.44
392.9190377,246880957.95
393.7806967,249542268.98
394.6423557,252296073.34
395.5040147,255147664.33
396.3656737,258102756.29
397.2273327,261167526.35
398.0889918,264348660.78
398.9506508,267653406.43
399.8123099,271089627.62
400.673969,274665869.03
401.5356281,278391424.77
402.3972872,282276413.92
403.2589463,286331862.29
404.1206054,290569790.02
404.9822645,295003303.64
405.8439237,299646690.29
406.7055828,304515510.36
407.567242,309626682.10
408.4289012,314998548.55
409.2905604,320650911.87
410.1522196,326605012.55
411.0138788,332883420.13
411.875538,339509786.03
412.7371972,346508386.01
413.5988565,353903346.77
414.4605157,361717403.21
415.322175,369969966.00
416.1838342,378674183.47
417.0454935,387832551.75
417.9071528,397430450.45
418.7688121,407426754.82
419.6304714,417740403.05
420.4921308,428231515.62
421.3537901,438675469.60
422.2154494,448728450.36
423.0771088,457883885.83
423.9387682,465421631.32
424.8004275,470357118.66
425.6620869,471407625.20
426.5237463,467008679.51
427.3854057,455433639.29
428.2470651,435082187.05
429.1087245,404977011.09
429.970384,365390749.38
430.8320434,318309886.18
431.6937029,267306264.85
432.5553623,216648013.67
433.4170218,170079321.37
434.2786813,129976469.67
435.1403408,97207503.72
436.0020002,71497198.46
436.8636598,51933105.09
437.7253193,37378669.27
438.5869788,26727528.92
439.4486383,19024061.87
440.3102979,13498587.86
441.1719574,9558109.79
442.033617,6758974.10
442.8952765,4775767.82
443.7569361,3372996.73
444.6185957,2381789.50
445.4802553,1681793.14
446.3419149,1187582.93
447.2035745,838685.74
448.0652341,592362.30
448.9268937,418435.50
449.7885534,295608.51
450.650213,208854.20
451.5118726,147569.21
452.3735323,104270.55
453.235192,73676.26
454.0968516,52057.11
454.9585113,36779.50
455.820171,25983.18
456.6818307,18353.85
457.5434904,12962.80
458.4051501,9153.70
459.2668098,6462.65
460.1284696,4561.74
460.9901293,3219.20
461.851789,2271.19
462.7134488,1601.92
463.5751085,1129.54
464.4367683,796.22
465.2984281,561.07
466.1600879,395.24
467.0217476,278.33
467.8834074,195.93
468.7450672,137.87
469.606727,96.98
470.4683869,68.19
471.3300467,47.93
472.1917065,33.67
473.0533664,23.65
473.9150262,16.60
474.776686,11.65
475.6383459,8.17
476.5000058,5.73
477.3616656,4.01
478.2233255,2.81
479.0849854,1.97
479.9466453,1.38
480.8083052,0.96
481.6699651,0.67
482.531625,0.47
483.3932849,0.33
484.2549449,0.23
485.1166048,0.16
485.9782647,0.11
486.8399247,0.08
487.7015846,0.05
488.5632446,0.04
489.4249045,0.03
490.2865645,0.02
491.1482245,0.01
492.0098845,0.01
492.8715445,0.01
493.7332045,0.00
494.5948645,0.00
495.4565245,0.00
496.3181845,0.00
497.1798445,0.00
498.0415045,0.00
498.9031646,0.00
499.7648246,0.00
500.6264846,0.00
501.4881447,0.00
502.3498047,0.00
503.2114648,0.00
504.0731249,0.00
504.934785,0.00
505.796445,0.00
506.6581051,0.00
507.5197652,0.00
508.3814253,0.00
509.2430854,0.00
510.1047455,0.00
510.9664056,0.00
511.8280657,0.00
512.6897259,0.00
513.551386,0.00
514.4130461,0.00
515.2747063,0.00
516.1363664,0.00
516.9980266,0.00
517.8596867,0.00
518.7213469,0.00
519.5830071,0.00
520.4446672,0.00
521.3063274,0.00
522.1679876,0.00
523.0296478,0.00
523.891308,0.00
524.7529682,0.00
525.6146284,0.00
526.4762886,0.00
527.3379488,0.00
528.199609,0.00
529.0612692,0.00
529.9229295,0.00
530.7845897,0.00
531.6462499,0.00
532.5079102,0.00
533.3695704,0.00
534.2312307,0.00
535.0928909,0.00
535.9545512,0.00
536.8162115,0.00
537.6778717,0.00
538.539532,0.00
539.4011923,0.00
540.2628526,0.00
541.1245129,0.00
541.9861732,0.00
542.8478335,0.00
543.7094938,0.00
544.5711541,0.00
545.4328144,0.00
546.2944747,0.00
547.1561351,0.00
548.0177954,0.00
548.8794557,0.00
549.7411161,0.00
550.6027764,0.00
551.4644368,0.00